Месяц,x1,x2,x2_origin,x3,dx1,dx2,dx3,y
Нояб,5.61,7.48,0.36,44.99,681.62,868.2,-0.18,6433.05
Нояб,6.29,8.35,0.36,44.99,763.05,932.14,-0.39,7706.94
Нояб,7.05,9.28,0.36,44.99,850.48,1003.7,-0.63,9224.77
Нояб,2.37,0.52,0.52,44.99,28.41,564.69,0.82,294.61
Нояб,2.4,1.08,0.52,44.99,81.37,567.35,0.81,615.8
Нояб,2.48,1.65,0.52,44.99,134.58,574.99,0.79,948.64
Нояб,2.61,2.23,0.52,44.99,188.51,587.61,0.75,1304.62
Нояб,2.8,2.81,0.52,44.99,243.63,605.29,0.69,1695.83
Нояб,3.05,3.42,0.52,44.99,300.4,628.14,0.61,2135.4
Нояб,3.35,4.05,0.52,44.99,359.31,656.32,0.52,2637.89
Нояб,3.71,4.7,0.52,44.99,420.87,690.02,0.41,3219.87
Нояб,4.13,5.39,0.52,44.99,485.59,729.49,0.28,3900.37
Нояб,4.61,6.12,0.52,44.99,554.01,775.04,0.13,4701.55
Нояб,5.17,6.9,0.52,44.99,626.7,827.0,-0.04,5649.43
Нояб,5.79,7.73,0.52,44.99,704.27,885.78,-0.24,6774.73
Нояб,6.5,8.61,0.52,44.99,787.35,951.84,-0.46,8113.84
Нояб,7.29,9.56,0.52,44.99,876.63,1025.68,-0.7,9710.04
Янв,2.13,0.2,0.2,60,-6.26,542.18,0.9,127.76
Янв,2.12,0.74,0.2,60.0,44.59,541.59,0.9,421.44
Янв,2.17,1.28,0.2,60.0,95.39,545.77,0.88,719.02
Янв,2.26,1.83,0.2,60.0,146.58,554.72,0.86,1030.87
Янв,2.41,2.38,0.2,60.0,198.61,568.47,0.81,1367.7
Янв,2.61,2.95,0.2,60.0,251.92,587.1,0.75,1740.89
Янв,2.86,3.54,0.2,60.01,306.99,610.73,0.67,2162.91
Янв,3.17,4.15,0.2,60.01,364.27,639.52,0.57,2647.72
Янв,2.13,0.36,0.36,60.01,8.74,542.18,0.9,214.52
Янв,2.14,0.9,0.36,60.01,59.6,543.0,0.89,509.0
Янв,2.2,1.45,0.36,60.01,110.53,548.59,0.88,810.43
Янв,2.31,1.99,0.36,60.01,161.98,558.96,0.84,1129.29
Янв,2.47,2.55,0.36,60.01,214.4,574.15,0.79,1476.45
Янв,2.69,3.13,0.36,60.01,268.26,594.26,0.72,1863.61
Янв,2.95,3.72,0.36,60.01,323.99,619.42,0.64,2303.66
Янв,3.28,4.34,0.36,60.01,382.09,649.81,0.54,2811.14
Янв,2.13,0.52,0.52,60.01,23.75,542.18,0.9,301.27
Янв,2.15,1.06,0.52,60.01,74.6,544.41,0.89,597.0
Янв,2.23,1.61,0.52,60.01,125.66,551.4,0.87,902.76
Янв,2.35,2.16,0.52,60.02,177.38,563.19,0.83,1229.09
Янв,2.53,2.72,0.52,60.02,230.2,579.83,0.77,1587.11
Янв,2.76,3.3,0.52,60.02,284.59,601.42,0.7,1988.82
Янв,3.05,3.9,0.52,60.02,340.99,628.11,0.61,2447.57
Фев,3.31,0.2,0.2,60.02,-6.27,652.85,0.53,120.38
Фев,3.3,0.85,0.2,60.02,54.97,652.27,0.53,546.26
Фев,3.31,0.36,0.36,60.02,8.74,652.85,0.53,224.84
Фев,3.31,0.52,0.52,60.02,23.75,652.85,0.53,329.3
Дек,1.8,0.2,0.2,60.02,-6.27,511.23,1.0,129.85
Дек,1.79,0.71,0.2,60.02,41.68,510.64,1.0,390.94
