PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2020,59.25,29.25,99.7,98.82,100.31,99.83,100.27,100.53,99.97,100.32,100.31,100.32,100.65,100.85,100.16
PS,2020,59.25,29.75,99.71,98.84,100.32,99.83,100.27,100.55,99.99,100.33,100.33,100.35,100.68,100.9,100.18
PS,2020,59.25,30.25,99.83,98.97,100.45,99.94,100.39,100.68,100.11,100.45,100.45,100.49,100.82,101.07,100.31
PS,2020,59.25,30.75,99.98,99.13,100.6,100.08,100.53,100.83,100.25,100.6,100.61,100.66,100.99,101.26,100.46
PS,2020,59.25,31.25,100.11,99.26,100.73,100.19,100.64,100.96,100.37,100.72,100.74,100.8,101.13,101.44,100.6
PS,2020,59.25,31.75,100.11,99.27,100.74,100.18,100.64,100.97,100.37,100.72,100.75,100.83,101.15,101.48,100.6
PS,2020,59.25,32.25,99.98,99.15,100.61,100.05,100.5,100.85,100.25,100.59,100.63,100.72,101.03,101.39,100.49
PS,2020,59.25,32.75,99.74,98.92,100.37,99.8,100.26,100.63,100.02,100.36,100.41,100.5,100.81,101.18,100.26
PS,2020,59.25,33.25,99.39,98.58,100.03,99.44,99.91,100.31,99.7,100.03,100.08,100.18,100.47,100.86,99.92
PS,2020,59.25,33.75,98.94,98.15,99.59,98.99,99.48,99.91,99.28,99.61,99.67,99.77,100.05,100.45,99.5
PS,2020,59.25,34.25,98.69,97.92,99.35,98.74,99.23,99.69,99.05,99.37,99.44,99.55,99.81,100.24,99.26
PS,2020,59.25,34.75,98.65,97.89,99.32,98.7,99.2,99.68,99.02,99.34,99.42,99.55,99.8,100.25,99.24
PS,2020,59.25,35.25,98.73,97.98,99.4,98.78,99.27,99.77,99.1,99.42,99.51,99.65,99.9,100.38,99.33
PS,2020,59.75,27.75,100.49,99.59,101.14,100.72,101.16,101.39,100.77,101.15,101.1,101.1,101.42,101.59,100.97
PS,2020,59.75,28.25,100.38,99.49,101.03,100.59,101.05,101.29,100.67,101.05,101.0,101.01,101.33,101.52,100.87
PS,2020,59.75,28.75,100.12,99.23,100.77,100.31,100.77,101.03,100.42,100.79,100.75,100.77,101.08,101.29,100.62
PS,2020,59.75,29.25,99.87,98.99,100.52,100.05,100.52,100.81,100.19,100.55,100.52,100.55,100.85,101.08,100.38
